"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "PostCSS", "TypeScript JSX", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Marian\Desktop\dev\familyplanner\.prettierrc", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Marian\Desktop\dev\familyplanner\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 14, 74
"c:\Users\Marian\Desktop\dev\familyplanner\eslint.config.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Marian\Desktop\dev\familyplanner\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 1, 29
"c:\Users\Marian\Desktop\dev\familyplanner\package-lock.json", "JSON", 8549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8550
"c:\Users\Marian\Desktop\dev\familyplanner\package.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\Marian\Desktop\dev\familyplanner\public\service-worker.js", "JavaScript", 0, 0, 0, 65, 0, 0, 0, 0, 0, 6, 13, 84
"c:\Users\Marian\Desktop\dev\familyplanner\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Marian\Desktop\dev\familyplanner\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 12, 96
"c:\Users\Marian\Desktop\dev\familyplanner\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\auth\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 3, 7, 63
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\calendar\AgendaView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 112, 0, 0, 0, 1, 11, 124
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\calendar\CalendarEventForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 141, 0, 0, 0, 1, 15, 157
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\calendar\CalendarGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 6, 123
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\calendar\CalendarView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 428, 0, 0, 0, 9, 27, 464
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\calendar\EventDetailModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 7, 109
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\calendar\calendarUtils.ts", "TypeScript", 0, 0, 221, 0, 0, 0, 0, 0, 0, 16, 22, 259
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\contacts\ContactFamilyForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 172, 0, 0, 0, 1, 12, 185
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\contacts\ContactItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 6, 60
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\contacts\ContactList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 415, 0, 0, 0, 4, 37, 456
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\contacts\ContactPersonEditForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 229, 0, 0, 0, 1, 17, 247
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\contacts\ContactPersonForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 215, 0, 0, 0, 1, 16, 232
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\dashboard\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 183, 0, 0, 0, 36, 13, 232
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\notes\NoteItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 0, 12, 8, 146
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\notes\NoteList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 0, 7, 12, 136
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\recipes\RecipeAddForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 227, 0, 0, 0, 1, 19, 247
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\recipes\RecipeDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 277, 0, 0, 0, 11, 31, 319
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\recipes\RecipeEditForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 301, 0, 0, 0, 2, 23, 326
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\recipes\RecipeItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 9, 92
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\recipes\RecipeList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 252, 0, 0, 0, 9, 39, 300
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\recipes\ServingScaleModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 0, 2, 13, 114
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\shared\AssignedSelect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\shared\PushNotificationToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 11, 115
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\shopping\ShoppingAddForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 124, 0, 0, 0, 1, 6, 131
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\shopping\ShoppingHistory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 5, 72
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\shopping\ShoppingItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 8, 98
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\shopping\ShoppingList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 286, 0, 0, 0, 11, 34, 331
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\shopping\ShoppingQuickAdd.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 197, 0, 0, 0, 9, 27, 233
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\todos\TodoAddForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 10, 90
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\todos\TodoEditForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 199, 0, 0, 0, 17, 23, 239
"c:\Users\Marian\Desktop\dev\familyplanner\src\components\todos\TodoFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 6, 4, 31
